address,cluster_id,historic_tranfers_in,historic_tranfers_out,is_contract,is_exchange,is_visible,name,supply_percentage,token_amount,type
0x9982ca38e0257aeb40c6c2de28acdc45511ddddf,C-0x24,23,3,FALSE,FALSE,TRUE,,0.01,100000000,holder
0xb5f79e70759ca3734c2b3ebbdf9458831c0bb601,C-0x24,28,5,FALSE,FALSE,TRUE,,0.01,100000000,holder
0xbaf15ede72121a032eb38137b797c5e0fa27d0d1,C-0x24,26,8,FALSE,FALSE,TRUE,,0.01,100000000,holder
0xfceffddcb543287ce10f5e9e7f8de4157b3c1701,C-0x24,19,10,FALSE,FALSE,TRUE,,0.01,100000000,holder
0x20654acfb211d13ef7afc18e0cb11d74e9ead01c,C-0x24,46,15,FALSE,FALSE,TRUE,,0.009770623,97706228.57,holder
0x3eb8cc890223b82b16a110f87a9669c8bc401ceb,C-0x24,673,13,FALSE,FALSE,TRUE,,0.009738261,97382611.81,holder
0xfdbb0e84340d17d5da390ea2325cce477b292185,C-0x24,96,19,FALSE,FALSE,TRUE,,0.009694611,96946110.6,holder
0x714b42f9d81f8edde9e116099605987607860e64,C-0x24,4329,124,FALSE,FALSE,TRUE,,0.009647339,96473393.11,holder
0x662861d0b4263d296198386e7c67aa505bfe994b,C-0x24,826,188,FALSE,FALSE,TRUE,,0.009556243,95562428.79,holder
0x4473dfae0064116588a15c5759d60da0b62a8836,C-0x24,3657,88,FALSE,FALSE,TRUE,,0.00939922,93992202.67,holder
0x1f72007138690934cde217c95c550a8bcb13cccf,C-0x24,20,6,FALSE,FALSE,TRUE,,0.008933856,89338560,holder
0xe1535baca9593d4b2d1c9083a616e23f1f1fd514,C-0x24,16,7,FALSE,FALSE,TRUE,,0.008773711,87737112,holder
0x1f41f702ff5e6b397ef2bf4eccec790bc48d6e18,C-0x24,55,10,FALSE,FALSE,TRUE,,0.008501962,85019615.43,holder
0xda57c7852b3dd2e98e90b7f15ddb069fe08b90fc,C-0x24,1661,142,FALSE,FALSE,TRUE,,0.008444459,84444587.16,holder
0xd41f0b53687947a6b20f6d7e1d08fe5800e2562c,C-0x24,1277,30,FALSE,FALSE,TRUE,,0.008421949,84219493,holder
0x899624126624a645d93a3724553893cafce06a66,C-0x24,21,8,FALSE,FALSE,TRUE,,0.008322018,83220177,holder
0xafed93d81473f2b75b74f3a9777a5edd29bbe3a5,C-0x24,4132,133,FALSE,FALSE,TRUE,,0.008266003,82660034.47,holder
0xd2bfaa9537a26d4fc2a5b4282a625e1aaffa494b,C-0x24,101,13,FALSE,FALSE,TRUE,,0.008245675,82456747.9,holder
0xd5fddd924903db70f01952e6fb356a5186c65649,C-0x24,733,15,FALSE,FALSE,TRUE,,0.008240298,82402979.52,holder
0x329b3967cc086d9a7e47299b16ba1d2c045ad9a3,C-0x24,19,11,FALSE,FALSE,TRUE,,0.008207409,82074090.61,holder
0x0c1f076f34119d8f184c89b72fb480e6dfc4773f,C-0x24,905,97,FALSE,FALSE,TRUE,,0.008178838,81788377.8,holder
0x3f59dde6002b18163262e0ef593e67c7ecd754f7,C-0x24,25,6,FALSE,FALSE,TRUE,,0.008160198,81601981,holder
0xd589d97844a0cb94300e72180363696be29c1399,C-0x24,41,2,FALSE,FALSE,TRUE,,0.008113319,81133185,holder
0xf726a54d9e3fff9dfa5837a891d24a4d3f5f723c,C-0x24,3470,81,FALSE,FALSE,TRUE,,0.008103975,81039745.16,holder
0x309f1bc8a6318ac0963beac32de02abcf264a3a2,C-0x24,14,4,FALSE,FALSE,TRUE,,0.007910606,79106058,holder
