wallet,from_address,to_address,hash,block,timestamp,tx_type,method_id,direction,asset,amount,token_amount,chain
0x39f0ce00b9116619edea8e22e545f15fb7f2ffbd,0xbaed383ede0e5d9d72430661f3285daa77e9439f,0x39f0ce00b9116619edea8e22e545f15fb7f2ffbd,0xb2becf6b1adb159d7062fa315f26488f9a4f1383e5479c2575df277aee899dab,0xa803a6,1708811311,external,0x,in,ETH,0.17162,0x261b77b105a4000,base
0x39f0ce00b9116619edea8e22e545f15fb7f2ffbd,0x11ddd59c33c73c44733b4123a86ea5ce57f6e854,0x39f0ce00b9116619edea8e22e545f15fb7f2ffbd,0x074fb73fa537abdf0ad1445ef8d75959638b8ec26b5af7400b9f5c2ebab069be,0xa809e4,1708814507,erc20,0xe21fd0e9,in,BRETT,2171727.6475538844,0x1cbe19778180b16c17b01,base
0x5c69aef59d7cc892c5e47764ef4024dfd52c3b6c,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x5c69aef59d7cc892c5e47764ef4024dfd52c3b6c,0x2c1862f1af8d7fb0044910edec93b6deb7aaeecb9f5a39648e72e125af247efe,0xa73640,1708706147,external,0x,in,ETH,0.1,0x16345785d8a0000,base
0x5c69aef59d7cc892c5e47764ef4024dfd52c3b6c,0x404e927b203375779a6abd52a2049ce0adf6609b,0x5c69aef59d7cc892c5e47764ef4024dfd52c3b6c,0xf0a9e70a17b4ffb6b9f05bc028f6891555acadbf3e674815c43c636c890f28dc,0xa79c7b,1708758489,erc20,0xfb3bdb41,in,BRETT,50000000.0,0x295be96e64066972000000,base
0xb5f79e70759ca3734c2b3ebbdf9458831c0bb601,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0xb5f79e70759ca3734c2b3ebbdf9458831c0bb601,0x76cd1fb16ffa49f6ad99d20126944ba1b1937a9d003c1dae8d9c79a06c3a2954,0xa724a5,1708697133,external,0x,in,ETH,0.05,0xb1a2bc2ec50000,base
0xb5f79e70759ca3734c2b3ebbdf9458831c0bb601,0x404e927b203375779a6abd52a2049ce0adf6609b,0xb5f79e70759ca3734c2b3ebbdf9458831c0bb601,0x9599407bf18c4919329fdc21582420a334bde10c284083c32f2c0462bf6bb99e,0xa79c45,1708758381,erc20,0xfb3bdb41,in,BRETT,100000000.0,0x52b7d2dcc80cd2e4000000,base
0x309f1bc8a6318ac0963beac32de02abcf264a3a2,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x309f1bc8a6318ac0963beac32de02abcf264a3a2,0x82de126686395c69a8d53b117e60adc261ea6fe498e6361c96b2fba4e0e8fe65,0xa724de,1708697247,external,0x,in,ETH,0.05,0xb1a2bc2ec50000,base
0x309f1bc8a6318ac0963beac32de02abcf264a3a2,0x404e927b203375779a6abd52a2049ce0adf6609b,0x309f1bc8a6318ac0963beac32de02abcf264a3a2,0xd1890e08b81dec38645e43a232334504a8202df852897d0cd05c308feb9bddf6,0xa79c4b,1708758393,erc20,0xfb3bdb41,in,BRETT,79106058.0,0x416f5bff3c95f6c9e80000,base
0x6969480d52c7a8dd3fdf5b3f9742750f9f229fe1,0xfd92f4e91d54b9ef91cc3f97c011a6af0c2a7eda,0x6969480d52c7a8dd3fdf5b3f9742750f9f229fe1,0xc84457bab98c482fce89f7c01da8adc94e3a027a954a42cc5878e7edd7d9be03,0xa74293,1708712457,external,0x,in,ETH,0.15,0x214e8348c4f0000,base
0x6969480d52c7a8dd3fdf5b3f9742750f9f229fe1,0x404e927b203375779a6abd52a2049ce0adf6609b,0x6969480d52c7a8dd3fdf5b3f9742750f9f229fe1,0x4fba9775feb40355f45891e025c0bbb6b0fb88935b2bad593c266c28e3999780,0xa79ca5,1708758573,erc20,0x7ff36ab5,in,BRETT,114031450.5824628,0x5e53195299c769009b656e,base
